Tenure,Complain,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus
9.0,0,7.0,199.8,0,3,1,0,2
6.0,0,2.0,143.02,0,4,0,2,1
8.0,0,0.0,165.4,1,4,1,2,2
15.0,1,7.0,184.46,1,4,1,0,2
12.0,0,8.0,178.21,0,4,1,2,1
24.0,0,3.0,231.16000000000003,1,2,0,0,1
1.0,0,8.0,145.58,2,3,1,2,1
9.0,0,4.0,173.59,1,3,0,2,2
15.0,0,3.0,162.72,0,3,1,2,0
11.0,1,2.0,139.44,2,4,1,4,2
25.0,0,8.0,174.36,1,4,0,2,0
1.0,0,3.0,151.25,0,4,0,4,2
28.0,0,3.0,319.06,1,3,1,5,0
9.0,0,3.0,215.69,0,4,1,0,1
2.0,0,2.0,155.61,1,3,0,2,1
2.0,0,4.0,137.85,2,3,0,4,2
20.0,0,6.0,203.12,1,3,0,0,1
13.0,0,11.0,208.55,1,5,1,0,1
19.0,0,3.0,222.56,1,4,0,0,1
1.0,1,4.0,166.94,1,6,1,2,0
8.0,0,10.0,179.33,1,4,0,2,1
23.0,0,2.0,138.75,2,5,1,4,1
1.0,0,3.0,174.69,0,3,1,2,2
7.0,0,9.0,165.37,1,3,1,2,1
1.0,0,0.0,110.52000000000001,1,3,1,4,1
23.0,0,11.0,232.69,1,4,0,0,1
8.0,0,3.0,157.94,1,4,0,4,0
1.0,0,4.0,149.36,2,3,1,4,1
2.0,0,5.0,172.24,1,4,1,2,0
7.0,1,6.0,125.78999999999999,2,1,0,3,1
7.0,0,2.0,137.37,2,6,1,4,0
0.0,0,0.0,143.64,0,4,0,4,1
1.0,1,3.0,179.4,1,3,1,2,1
8.0,1,11.0,288.24,1,5,0,5,2
18.0,1,2.0,193.8,1,2,1,0,0
0.0,0,0.0,129.66,2,6,0,3,2
20.0,0,9.0,173.1,1,3,0,2,1
24.0,1,9.0,157.21,1,3,1,4,0
2.0,0,2.0,169.31,1,5,1,2,1
1.0,1,1.0,149.08,2,3,1,4,1
7.0,0,7.0,154.29,1,3,1,2,1
9.0,0,4.0,121.77000000000001,2,0,1,3,2
6.0,1,2.0,154.88,0,6,0,2,1
1.0,0,1.0,144.04,0,3,1,4,2
9.0,1,3.0,213.37,1,4,0,0,2
8.0,0,9.0,141.48,0,4,0,2,1
19.0,1,8.0,233.51,1,3,1,0,1
16.0,1,3.0,209.46,1,4,1,0,2
22.0,0,2.0,147.89,2,3,0,2,0
12.0,0,1.0,151.19,1,4,0,4,2
8.0,0,8.0,192.12,1,5,0,2,1
8.0,1,7.0,188.37,1,4,0,0,2
5.0,0,8.0,179.68,1,5,0,2,1
0.0,0,3.0,123.68,2,6,0,3,1
9.0,0,3.0,217.13,0,4,0,0,0
8.0,1,7.0,140.14,2,4,0,2,0
0.0,1,2.0,139.89,2,3,1,4,2
5.0,0,2.0,144.65,0,5,1,2,0
5.0,0,3.0,148.29,2,4,1,4,1
3.0,1,1.0,177.38,1,3,0,2,0
10.0,0,8.0,170.02,1,4,0,2,2
0.0,0,4.0,126.47,2,6,1,3,2
5.0,1,11.0,196.43,1,3,0,0,2
2.0,1,3.0,140.25,2,6,1,2,1
1.0,1,3.0,153.75,1,4,1,4,2
9.0,0,4.0,120.69999999999999,2,0,1,3,1
2.0,0,3.0,174.08,1,3,1,2,2
7.0,0,8.0,126.91,2,4,1,3,1
8.0,0,9.0,147.17,2,5,1,2,0
23.0,1,10.0,320.02,1,4,1,5,1
15.0,0,0.0,139.68,2,4,1,4,2
61.0,1,1.0,303.75,1,4,0,1,1
29.0,0,2.0,299.43,1,2,0,5,1
10.0,1,3.0,180.62,0,4,1,2,1
9.0,0,9.0,177.79,0,4,1,2,2
26.0,0,3.0,144.5,2,3,0,2,1
10.0,1,3.0,180.62,0,4,1,2,1
8.0,0,3.0,229.82,1,3,1,0,0
9.0,1,3.0,151.6,1,3,1,4,1
6.0,0,1.0,171.48,0,5,1,2,2
1.0,0,3.0,153.86,1,4,0,4,1
1.0,0,1.0,135.91,0,1,1,4,2
3.0,0,8.0,141.52,2,4,1,2,1
31.0,1,3.0,230.52,1,2,0,0,1
6.0,0,4.0,136.0,2,6,1,4,0
31.0,0,1.0,266.18,1,5,1,1,1
8.0,0,14.0,164.86,1,3,1,2,1
1.0,1,9.0,181.17,0,5,1,2,1
1.0,1,1.0,149.13,2,5,1,4,0
26.0,0,7.0,286.06,1,3,0,5,1
13.0,0,8.0,162.55,0,4,0,4,1
29.0,0,5.0,151.62,1,1,1,4,1
28.0,0,2.0,232.25,1,3,1,0,1
9.0,0,2.0,122.18,2,4,1,3,1
0.0,0,2.0,148.51,2,4,1,2,0
1.0,0,3.0,148.05,2,3,1,4,1
7.0,0,3.0,129.96,0,6,1,3,1
9.0,0,10.0,205.2,1,5,1,0,0
12.0,1,2.0,271.23,1,3,0,1,1
29.0,0,2.0,299.43,1,2,0,5,1
1.0,0,4.0,179.72,1,3,1,2,0
1.0,0,3.0,150.39,1,4,1,4,0
1.0,0,8.0,169.2,1,3,1,4,1
8.0,0,0.0,150.93,0,4,0,2,1
12.0,1,8.0,208.8,0,3,0,0,2
1.0,1,7.0,168.34,0,4,1,2,1
19.0,0,7.0,185.78,1,4,1,0,1
2.0,0,9.0,143.19,0,1,1,2,1
4.0,0,7.0,150.03,0,4,1,2,1
14.0,0,4.0,148.87,2,4,1,4,0
2.0,0,9.0,179.88,1,6,1,0,2
13.0,0,9.0,175.42,0,3,0,2,2
0.0,0,2.0,153.26,1,1,1,2,2
0.0,1,2.0,145.59,2,4,0,2,0
4.0,1,10.0,171.43,1,3,0,0,2
0.0,0,0.0,198.24,0,4,1,0,1
18.0,0,12.0,155.93,0,4,0,2,1
20.0,1,7.0,145.37,2,5,0,2,1
7.0,1,3.0,179.88,0,6,0,2,1
16.0,0,0.0,147.65,2,4,0,2,1
19.0,1,11.0,259.96,1,3,1,1,0
7.0,1,8.0,177.07,1,4,1,2,1
9.0,0,11.0,177.08,1,4,1,2,1
3.0,0,8.0,184.12,0,6,0,0,0
23.0,0,2.0,136.9,2,3,1,4,1
9.0,0,7.0,121.53,0,0,0,3,2
5.0,1,2.0,140.78,2,5,1,2,1
9.0,1,3.0,122.77000000000001,2,6,1,3,1
3.0,0,2.0,138.33,2,4,1,4,0
0.0,0,2.0,146.84,2,3,1,2,2
12.0,0,3.0,153.21,0,6,1,4,1
0.0,0,7.0,152.06,0,4,1,2,1
10.0,0,2.0,171.78,1,6,1,4,2
